"Time";"dep";"mood_irritat";"pat_agitate";"se_selfdoub";"event_pleas";"event_disturb"
1;1,05910498695374;2,55915562334386;2,88061565988594;2,8226836259876;-0,47946749329567;4,33481503548947
2;2,82457482495904;2,91226997429674;3,31682732370165;2,86844994021314;-0,558768671751022;4,75285667993806
3;2,82952191407084;4,02054060182788;3,88063604301876;3,05128001927265;-0,955659705400467;5,20772921768102
4;2,82959474359751;3,47093631191687;3,84835196534793;2,83980557216065;-0,40971993803978;5,2555649436333
5;2,82964314377904;3,4700148363005;3,33591808875402;3,04280115051993;-0,686105927824974;5,6063939305869
6;2,82969038851857;3,20408734340559;3,19079474773672;2,83539271248238;-0,329495066404343;5,5671041987159
7;2,82973660619855;3,94614980302074;3,80398119158215;3,04142447880336;-0,664869463443756;5,66745563528754
8;2,82978179681897;2,94505471465262;3,0838530725903;2,1850867079837;0,610275569558144;5,18525329503146
9;2,82982596037984;3,23815661330115;3,13962216178576;1,92065706955535;0,536005562543869;5,47529572485523
10;2,8298691152215;3,33340887860818;3,06409417755074;1,89951313393457;-0,196502307057381;5,93944714692506
11;2,82991124300361;2,90614603900097;3,11783994237582;1,90675856066602;-0,0487492740154266;5,71701351079074
12;2,82995238040686;3,19860938259146;3,05680084890789;2,34458977090461;-0,740301835536957;5,81079184331677
13;2,8299925090909;2,29085023836656;2,157624281115;2,10267298615405;0,0432952761650085;5,68656107918783
14;2,83003166573644;2,07772323353724;2,4228868972924;1,86646610391991;0,617758548259735;5,09884257479147
15;2,83006985034347;2,14409324459054;2,9312332338757;2,05112276173064;-0,153694698214531;5,13820049844005
16;2,83010708125234;1,60559203001586;2,66881153815322;1,83655084403498;0,740388187766075;4,7105816683986
17;2,8301433768034;1,51134464415637;2,66493883066707;1,86813232036574;0,764218819141388;4,86435880037871
18;2,83017873699665;1,82455270940607;2,66512712173992;1,88110241027815;0,296372777223587;5,28839307887988
19;2,83021319851279;2,89403380589052;2,66566624575191;1,89759712559836;-0,796202728152275;5,79600871828469
20;2,83024676135182;2,43459542163394;2,91923309365908;2,49820005042212;-0,611619818210602;5,59032401713458
21;2,83027944385409;2,65831415084275;3,33848013066583;2,91669505501964;-0,404166007041931;5,57254964384166
22;2,8303112460196;2,4312911209735;3,01710308260388;2,74425299478961;0,13700059056282;5,55693826350299
23;2,8303422228694;2,40311967852441;2,72157246702247;2,82349008428199;-0,0893305569887162;5,54298010739413
24;2,83037237440348;2,38415882262317;2,70614601009422;2,86885434282678;-0,60091318488121;4,92031347887083
25;2,83040170062184;2,3711329204115;2,6980564677053;3,31126295881612;-1,09382039308548;4,26854228837924
26;2,83043023820519;2,36207583817569;2,69206441276603;3,08704199588725;-0,469664508104324;4,64097781750289
27;2,83045798715353;2,47037889131091;2,9572246397535;2,85791906820876;-0,331056839227676;4,74965557523749
28;2,83048498414755;2,14033062688329;2,99692294663853;2,18638568318316;-0,426028394699097;4,98487671938809
29;2,8305112475276;1,60570504787293;2,14030552572674;1,92866167532546;0,109194129705429;4,8763636729934
30;2,83053677729368;1,7126406586983;1,84093586438232;1,90191081272704;-0,115302386879921;5,11595069887963
31;2,83056159178615;1,97475124963305;2,22339780297544;1,90795408827918;-0,627083498239517;5,32561560787938
32;2,83058572768569;2,27720251205293;2,8309510714478;2,34565788613898;-1,11598393321037;5,6309504238042
33;2,83060916665196;2,36084162714806;2,58326114051872;2,60281734807151;-1,37342371344566;5,74330240217122
34;2,83063196370602;2,41707421568307;2,59238708847099;2,31702487237219;-0,733449301123619;5,54021768542853
35;2,83065411884785;2,31123958595774;2,60470392637783;1,82947077495711;-0,391680872440338;5,52741150828925
36;2,8306756504178;2,61695722016421;2,83204192171494;2,27761120083077;-1,12290613651276;5,65354286201976
37;2,83069655841589;2,710809904066;3,2622221791082;2,41044684605939;-1,67100381851196;5,91943952712146
38;2,8307168795228;2,13552077046849;2,98340836829609;2,55155148556722;-0,719281724095345;5,75855933807113
39;2,83073663207889;1,88414439626715;2,68884723716312;2,68752441289169;-0,359878218173981;5,26331970366565
