"dep";"mood_irritat";"pat_agitate";"se_selfdoub";"event_pleas";"event_disturb";"time"
-0,84224405021682;1,08722199378197;0,885447299000515;0,525150622319547;-1,75825961479394;0,0311073797233483;1
-0,77594361726738;-2,99021855436262;-1,28507540569011;-0,75279838616262;2,46016770345419;-0,941275867104095;2
-0,758036174082003;-1,46446974313396;-0,855032751636865;-0,428520044671624;-0,865257859730754;-0,405600037689695;3
-0,725011893634647;-3,18959561418272;-1,52994460462047;-1,04799936059509;1,76086150616276;-1,08090725111335;4
-0,850582313895055;0,253683105311857;0,243525522669367;0,0611898653411269;-1,00048314114717;-0,78046865141336;5
-0,821334301997337;-1,63361461552741;-0,771872646311004;-0,039326328820215;0,823628076458834;-0,670784361023467;6
-0,803562261994234;-0,968773687424055;-1,01283833184859;-0,240831965291557;-0,688212730784999;0,0766050383458659;7
-0,800028290986131;0,0354868637326113;-0,00838398964020737;0,760227184973986;-1,68518605326038;0,0762681385219572;8
-0,795728936765444;-1,70876162363272;-0,000501301243029051;1,56219489894339;0,129723893262114;-0,773881141837022;9
-0,704593923078602;1,09859766024106;0,817588059816403;1,37840937682575;-1,659168183039;0,218925380508137;10
-0,696267470762642;-0,0552646340182332;-0,295231015460472;0,288530366369185;0,491726274792856;0,0774723425809274;11
-0,700140235706362;-1,15675434258133;0,48259745335111;-0,0609744480605652;1,76023730753966;-1,06712176885205;12
-0,79090962701821;1,03745289045904;0,989038920421098;0,749420955878634;-1,67926129899648;1,07908352008271;13
-0,746747684571694;-0,339717791716652;-0,607781377888776;-0,0369889137143515;0,831026518164631;-0,283943557159707;14
-0,751483942260863;1,30154542296937;0,30644009747931;1,12068791860977;-1,05299128299027;1,39843693580488;15
-0,783629871604435;1,02760545181825;-0,0148742914694786;0,740641180263399;-1,66937986751846;0,0687152254091536;16
-0,780269077019386;1,02319830634919;-0,0148104993144968;0,737464753536564;-0,662220310408059;0,0684205228131551;17
-0,789687322096325;-1,97014502998252;0,759954190585271;1,34168173543793;1,38100272238133;-0,996244694997202;18
-0,76497409806444;0,639284783850241;0,402436771843678;0,0036222135918571;-0,199179103296764;-0,323464409166809;19
-0,807450537134693;-0,133121748599371;-0,341112397747081;-0,692227533394663;0,486418772294947;-0,172116216867942;20
