"dep";"mood_irritat";"pat_agitate";"se_selfdoub";"event_pleas";"event_disturb";"time"
-2,55462949917684;-1,83372908184647;-1,82927795694438;-1,8965226587871;-1,1279332896415;-5,87171841579343;1
-2,53892955389764;-6,09511038382953;-4,09779343228213;-3,05940885053274;3,07309610024507;-7,07290709462938;2
-2,49111239550516;-4,85312777320533;-3,87592127450865;-2,53164581688281;-0,342752965133261;-6,65511466837501;3
-2,56862953008426;-5,45532011458179;-3,44132201078852;-2,66055561912713;1,5801612071017;-6,58183310293495;4
-2,51093259522133;-2,49972501146802;-2,51223457915863;-2,3115365372684;-0,614572322227932;-6,3836191213211;5
-2,58359161224982;-4,17856479743786;-3,15804900978927;-2,48755399867214;1,36562346335929;-6,37013297230997;6
-2,49753705379642;-3,75168775296739;-3,77020436094578;-2,46900460508015;-0,419074593414863;-5,57574969718125;7
-2,56845430119685;-1,44894336644171;-1,43592377408085;-0,656152209547652;-2,42609456258336;-4,57768301128469;8
-2,55245986893624;-4,74418397364515;-2,73808094299927;-0,840284700959791;0,802176361291649;-6,80401353727275;9
-2,5067372533508;-2,5825125185761;-2,59591912442962;-1,36308226361097;-0,549211254317474;-6,44659997554157;10
-2,56802080594321;-2,45773376208744;-2,44551055168855;-1,66243934675753;0,580121050936032;-5,58420788652234;11
-2,51947124939942;-4,35097206704811;-2,35893887806369;-2,21863817187208;2,27187865774086;-7,2689621644494;12
-2,53872681005755;-0,99631090644366;-0,99623050676331;-0,997702210702512;-2,00285877884583;-3,99717104560274;13
-2,5748702457718;-2,33714319342525;-2,32442015545705;-1,58745883100642;0,486166987558105;-5,49124533726003;14
-2,50103977664525;-1,68580976273735;-2,698926035606;-1,42708350128202;-0,467789492030843;-4,52677802220798;15
-2,5669994796623;-0,476999254244657;-1,46733460696016;-0,674208930768633;-2,40597822984932;-4,59804194885272;16
-2,53649552929718;-1,03727192087064;-2,03796530151665;-1,02321948747824;-0,971075553295553;-5,02863939494479;17
-2,53707620591777;-5,02659029951546;-2,02708486699637;-1,01656471147443;2,02063225948872;-7,02043122489462;18
-2,50938506267924;-2,53140781801222;-2,54055446795662;-2,33108409531679;0,413359034829805;-6,4092977420734;19
-2,55927716662189;-2,62187099512496;-2,61565977463788;-2,76491867572628;0,705505634942676;-5,70842792916648;20
-2,52134827855663;-2,31317233965209;-3,31829132065655;-2,19476981179752;-0,756083212399079;-6,24136379427371;21
-2,54967316899352;-1,79670641616298;-1,7935064320903;-1,87357874397719;-1,15831904176411;-5,84334486935846;22
-2,54522598693273;-1,87808608804065;-1,87621486403233;-1,92420316670154;-0,0949369284613426;-5,9060443616892;23
-2,53650347434454;-2,03677609579245;-2,03734009895248;-3,02286435775683;1,02863449219176;-3,02834097069625;24
-2,5409629556638;-1,9554542723797;-1,95475246744989;-2,97231249623325;0,965319758328848;-4,96573953635508;25
-2,53462764598267;-2,07115711920405;-2,07229145609641;-2,04423845837332;-0,944596742330218;-5,05469084800683;26
-2,54363061200135;-2,90680267761271;-2,90532489865261;-1,94207177091628;0,927461850829243;-5,92836504899129;27
-2,52050674806388;-1,32875025888809;-2,33396316295514;-1,20426814080886;-0,744036172810927;-5,25273359800493;28
-2,56423152342266;-0,530085431929894;-0,5227344590905;-0,707856298092335;-1,36603296043401;-5,63873263510056;29
-2,54244018301615;-1,92872505329123;-0,927667152421614;-0,955705898688338;-0,055511901058824;-5,94522247678992;30
-2,53141160629502;-3,12955964187416;-3,13148858809842;-2,08052537434614;1,10092521277352;-7,0995706919341;31
-2,51370936318174;-3,45123402199229;-2,45798423654728;-2,28073881683073;1,35160076557021;-7,34693988593784;32
-2,54743101004418;-2,83787206054921;-1,83546462632007;-2,89913099399689;1,87366105221544;-5,875334038509;33
-2,53653904016213;-2,036110993848;-2,03664736413214;-1,02245963052601;-0,971864735340735;-6,02775560054381;34
-2,55216598677762;-2,75225383118428;-1,7488327510942;-1,84601974714476;0,807079039130409;-5,80962921151978;35
-2,52742787856396;-3,20130164180495;-3,2039593292837;-2,12510689764521;2,15673948273386;-7,15465544277107;36
-2,52831370657757;-3,18517793803945;-3,1876718967796;-2,11511305786366;2,14424199314538;-7,14232297640866;37
-2,53915388480498;-0,988574787081778;-1,98842166511028;-1,99289834782373;-1,00889968901545;-4,99121803740169;38
-2,56514491137596;-1,51809245032001;-1,51188378031206;-1,70084788308725;0,62452397253066;-4,62943532596889;39
-2,52830498673022;-2,18487520619425;-2,18717472601819;-2,1147217302596;1,14402420836329;-5,14214218556742;40
-2,53914036124127;-0,988849908600608;-1,98871107370795;-1,99308118362812;-0,00868671261702884;-5,99142612965521;41
-2,54350602886264;-0,909792854250469;-0,908632776590101;-0,94399383037826;-0,0703008086783541;-3,93066678737045;42
-2,55109879477549;-0,772081402537752;-0,768979501741501;-0,858322512736243;-1,1776995640603;-3,8247500014582;43
-2,53933960787434;-0,985230099104064;-0,985030455103129;-0,990820327912733;-1,0115135874059;-2,98864295417946;44
-2,54034149161117;-0,967052247177299;-0,966605003234779;-0,979520785649667;-1,02568391780687;-5,97467090412303;45
-1,91734226137543;-3,10502830242409;-3,10649720167603;-2,06531799354754;1,08189347215798;-6,08062045576808;46
-1,89595204123796;-3,82205835913756;-3,83415629064725;-3,51236944453333;-0,359083575012547;-6,62873267082413;47
-1,92677338063722;-4,9246652715829;-4,92357267256146;-1,95310751569477;2,94127462390292;-6,94233992887131;48
-1,8946251998428;-4,58457927534917;-3,59273621485282;-2,36197304888863;2,4558527821924;-5,44731242299117;49
-1,94732812834075;-1,50152015716735;-1,49445340200936;-1,69159037331358;-1,38880518545319;-5,61821974264331;50
-1,94010379977412;-1,65101639403106;-1,64596519191023;-1,78405725166018;1,72768066360564;-4,7331878874361;51
-1,91947806486471;-2,07476438840661;-3,07585068658136;-2,04625593410337;-0,941730710303396;-6,05713286034356;52
